gdb	gid	genomeName	pathway	step	class	comment
NCBI	GCF_000025945.1	Desulfotalea psychrophila LSv54	val	ilvC	spurious	Although this step was not found in the annotated proteins, it was found when analyzing the six-frame translation of the genome. This may indicate a missing gene call or a frameshift error in the genome sequence.
NCBI	GCF_000025945.1	Desulfotalea psychrophila LSv54	val	ilvD	spurious	Although this step was not found in the annotated proteins, it was found when analyzing the six-frame translation of the genome. This may indicate a missing gene call or a frameshift error in the genome sequence.
NCBI	GCF_000173975.1	Anaerobutyricum hallii DSM 3353	chorismate	aroA'	spurious	Although this step was not found in the annotated proteins, when analyzing the six-frame translation of the genome, another step was found to complete the pathway. This may indicate a missing gene call or a frameshift error in the genome sequence.
NCBI	GCF_000173975.1	Anaerobutyricum hallii DSM 3353	chorismate	aroB'	spurious	Although this step was not found in the annotated proteins, when analyzing the six-frame translation of the genome, another step was found to complete the pathway. This may indicate a missing gene call or a frameshift error in the genome sequence.
NCBI	GCF_000341125.1	Nocardiopsis lucentensis DSM 44048	arg	argC	spurious	Although this step was not found in the annotated proteins, it was found when analyzing the six-frame translation of the genome. This may indicate a missing gene call or a frameshift error in the genome sequence.
NCBI	GCF_000341125.1	Nocardiopsis lucentensis DSM 44048	ile	ilvI	spurious	Although this step was not found in the annotated proteins, it was found when analyzing the six-frame translation of the genome. This may indicate a missing gene call or a frameshift error in the genome sequence.
NCBI	GCF_000341125.1	Nocardiopsis lucentensis DSM 44048	leu	ilvI	spurious	Although this step was not found in the annotated proteins, it was found when analyzing the six-frame translation of the genome. This may indicate a missing gene call or a frameshift error in the genome sequence.
NCBI	GCF_000341125.1	Nocardiopsis lucentensis DSM 44048	val	ilvI	spurious	Although this step was not found in the annotated proteins, it was found when analyzing the six-frame translation of the genome. This may indicate a missing gene call or a frameshift error in the genome sequence.
NCBI	GCF_000384075.1	Methylovulum miyakonense HT12	lys	dapF	spurious	Although this step was not found in the annotated proteins, it was found when analyzing the six-frame translation of the genome. This may indicate a missing gene call or a frameshift error in the genome sequence.
NCBI	GCF_000482785.1	Derxia gummosa DSM 723	arg	argG	spurious	Although this step was not found in the annotated proteins, it was found when analyzing the six-frame translation of the genome. This may indicate a missing gene call or a frameshift error in the genome sequence.
NCBI	GCF_000519045.1	Dechloromonas agitata is5	arg	argG	spurious	Although this step was not found in the annotated proteins, it was found when analyzing the six-frame translation of the genome. This may indicate a missing gene call or a frameshift error in the genome sequence.
NCBI	GCF_000527155.1	Haloglycomyces albus DSM 45210	chorismate	aroD	spurious	Although this step was not found in the annotated proteins, it was found when analyzing the six-frame translation of the genome. This may indicate a missing gene call or a frameshift error in the genome sequence.
NCBI	GCF_000527155.1	Haloglycomyces albus DSM 45210	leu	leuA	spurious	Although this step was not found in the annotated proteins, it was found when analyzing the six-frame translation of the genome. This may indicate a missing gene call or a frameshift error in the genome sequence.
NCBI	GCF_000711195.1	Thiomicrospira pelophila DSM 1534	his	hisA	spurious	Although this step was not found in the annotated proteins, it was found when analyzing the six-frame translation of the genome. This may indicate a missing gene call or a frameshift error in the genome sequence.
NCBI	GCF_000744815.1	Phaeacidiphilus oryzae TH49	chorismate	aroC	spurious	Although this step was not found in the annotated proteins, it was found when analyzing the six-frame translation of the genome. This may indicate a missing gene call or a frameshift error in the genome sequence.
NCBI	GCF_000816635.1	Clostridium tyrobutyricum FAM22553	chorismate	aroL	spurious	Although this step was not found in the annotated proteins, a medium-confidence candidate was found when analyzing the six-frame translation of the genome. This may indicate a missing gene call or a frameshift error in the genome sequence.
NCBI	GCF_001579945.1	Steroidobacter denitrificans DSM 18526	arg	carA	spurious	Although this step was not found in the annotated proteins, it was found when analyzing the six-frame translation of the genome. This may indicate a missing gene call or a frameshift error in the genome sequence.
NCBI	GCF_001995255.1	Thioalkalivibrio halophilus HL17	chorismate	aroC	spurious	Although this step was not found in the annotated proteins, it was found when analyzing the six-frame translation of the genome. This may indicate a missing gene call or a frameshift error in the genome sequence.
NCBI	GCF_014701235.1	Dissulfurispira thermophila T55J	lys	dapF	spurious	Although this step was not found in the annotated proteins, it was found when analyzing the six-frame translation of the genome. This may indicate a missing gene call or a frameshift error in the genome sequence.
